,  The taste of Maggi Masala is perfectly balanced for my liking.  ,  I prefer Maggi Masala over other spice blends available in the market.  ,Maggi Masala adds a unique flavor to the dishes I prepare.,The current level of spiciness in Maggi Masala suits my preference.,The aroma of Maggi Masala enhances its taste appeal., Maggi Masala is too mild or too strong for my taste?  ,I consider Maggi Masala an essential part of my cooking routine because of its flavor.,I find the flavor of Maggi Masala nostalgic or comforting?  ,I would recommend Maggi Masala to friends and family.,I am loyal to Maggi Masala and rarely switch to other spice blends.,I consider switching to another brand if it offered a similar masala flavor?  ,The flavor profile of Maggi Masala makes my meals more enjoyable.,I feel Maggi Masala caters to your regional taste preferences?  ,The packaging design of Maggi Masala is attractive and informative.,The portability of Maggi Masala packaging is convenient for me.,I would buy larger economy packs of Maggi Masala if available.,I am satisfied with the quantity of Maggi Masala in individual noodle packets?  ,Discounts or bundle offers influence my decision to buy Maggi Masala., I find Maggi Masala to be affordable?  ,I think Maggi Masala offers good value for money compared to other spice mixes?,"I associate Maggi Masala with positive memories and emotions, which influences my buying behavior.",I consistently choose Maggi Masala over other brands due to its recognizable image.,I Would be willing to pay a higher price for a premium or enhanced flavor version of Maggi Masala?  ,The overall flavor of Maggi Masala justifies its popularity among consumers.,I am influenced by advertisements when purchasing Maggi Masala.,I trust the Maggi brand for delivering consistent flavor quality.,I feel that Maggi Masala’s advertisements resonate well with my personal tastes.,Availability in local stores impact my decision to buy Maggi Masala?,I Would buy seasonal or limited-edition Maggi Masala flavors?,I am influenced by friends or colleagues who recommend Maggi Masala in recipes?  ,The nutritional information on Maggi Masala packaging influences my purchase.
35,4,4,4,4,5,2,3,4,4,5,1,3,3,4,4,2,3,2,3,5,4,3,2,4,2,5,3,2,5,4,2
36,4,4,3,3,4,3,4,3,3,4,3,4,3,3,3,3,4,3,4,3,3,2,2,2,3,3,4,4,4,3,3
37,4,5,4,5,4,4,4,4,5,4,3,4,4,5,5,4,5,4,5,5,5,5,4,4,5,4,5,5,5,5,4
38,3,3,3,2,3,3,3,4,3,1,3,3,3,4,4,3,3,2,3,4,4,3,5,3,3,3,4,2,2,3,4
39,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
40,3,3,4,4,4,4,3,3,4,5,3,5,3,5,3,4,2,4,3,5,3,3,4,3,3,2,4,4,3,3,3
41,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4
42,3,2,4,2,4,4,1,2,1,1,1,3,1,3,3,1,1,1,3,1,1,1,1,3,1,2,1,1,1,1,5
43,1,1,4,1,2,1,1,5,3,1,4,4,3,2,3,4,5,5,5,5,5,5,5,5,4,4,4,3,5,5,5
44,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,4,3,5,4,5,2,4,4,3,3,3,4,3,4,3,4,2,4,4,3,3,3,2,3,3,3,4,3,4,3,3
46,4,4,5,4,3,3,3,3,3,3,4,4,4,4,4,2,1,3,5,4,3,3,3,4,3,3,3,4,4,4,4
47,2,2,1,2,1,2,3,2,1,2,2,3,2,4,4,3,5,5,4,2,1,1,1,1,2,2,2,2,2,4,5
48,3,3,3,4,3,2,2,3,2,2,4,2,2,2,3,3,4,3,3,3,3,4,2,3,3,4,3,3,4,2,3
49,4,4,4,3,1,4,4,4,2,1,2,1,3,3,3,3,3,2,1,1,2,3,3,2,3,4,3,1,2,1,4
50,4,2,3,3,4,2,2,2,1,2,4,2,2,5,5,3,5,4,4,5,4,2,3,4,5,4,3,4,3,4,4
51,5,2,4,5,5,4,5,4,5,4,3,5,4,4,3,5,3,2,5,3,5,5,5,3,2,5,5,2,2,5,4
52,3,4,3,3,2,3,3,2,2,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,3,2,2,3,3,3,2,3,2,1,3,3,3,3,1,1,4,3,3,2,2,2,3,3,3,2,4,4,2,3,3
54,4,3,4,4,3,2,4,5,4,1,4,2,2,2,2,4,3,3,1,1,1,5,4,3,3,3,3,5,4,1,1
55,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4
56,4,2,2,3,4,4,2,2,2,2,4,3,2,3,3,2,4,2,4,3,4,2,2,4,2,2,2,4,4,2,2
57,4,4,4,4,4,4,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,2,2
58,5,2,4,4,4,3,2,4,4,2,4,4,4,4,4,3,3,3,4,4,5,2,3,4,4,3,3,2,3,4,2
59,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,3,3,4,3,3,2,4,2,5,5,1,4,3,4,4,2,3,2,3,4,3,5,3,3,3,3,3,3,4,3,3
62,3,3,3,4,3,3,4,4,4,3,3,4,2,3,3,4,4,3,4,2,4,4,3,3,3,3,3,3,3,3,3
63,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
64,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
65,4,2,5,4,5,5,5,4,5,4,1,4,3,2,3,3,5,4,4,5,4,2,2,4,4,5,4,1,2,5,4
66,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
67,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,3,2,2,1,2,3,3,2,2,2,3,2,3
68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
69,3,3,3,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,3,3,3
70,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
71,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73,5,5,5,4,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,3,5
74,4,2,4,4,4,2,2,2,2,4,4,4,4,4,2,3,2,2,4,3,3,2,2,4,2,2,2,2,4,2,2
75,3,5,3,2,3,2,3,2,2,2,2,2,2,2,2,1,2,3,2,3,3,3,2,2,2,2,2,3,2,5,3
76,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
77,3,1,4,2,3,4,1,4,3,5,2,4,5,1,5,3,1,3,5,3,1,4,1,3,1,4,4,1,1,3,3
78,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
79,1,4,4,4,3,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,2,5,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,4,2,1,1,3,4,2,2,4,2,4,2,1,4,4,1,4,4,4,4,5,2,1,5,5,4,4,5,4,4,4
82,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
83,3,3,4,4,3,4,4,5,5,3,2,3,4,4,3,3,3,3,4,5,5,5,3,4,4,3,3,5,4,3,2
84,3,2,3,4,2,3,2,4,4,3,3,2,2,3,2,2,2,4,3,3,2,3,3,3,4,4,2,4,3,2,2
85,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,5,4,4,4,2,4,4
86,4,4,2,4,4,4,4,4,4,2,5,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5
87,3,2,4,4,4,4,3,4,3,3,3,4,4,4,3,2,3,3,3,4,3,3,2,4,2,4,3,4,4,2,3
88,4,2,3,4,4,3,2,3,4,2,4,4,3,3,3,1,3,3,4,3,3,1,1,3,4,3,3,4,2,4,3
89,4,4,3,4,4,3,4,4,5,3,3,4,4,4,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,4,4
90,3,3,3,5,4,2,1,2,5,2,3,2,4,2,1,1,4,2,3,1,5,2,3,2,4,4,2,1,3,2,4
91,3,4,4,3,3,4,3,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,5,3,4,3,3,4,3,5,4
92,4,4,4,4,5,2,3,4,4,4,2,4,4,4,4,3,5,4,5,4,4,4,4,5,4,5,4,4,3,2,3
93,3,3,2,4,5,1,3,3,1,2,3,1,4,4,4,3,4,4,4,4,3,3,3,4,4,4,3,2,2,1,4
94,4,3,4,5,5,5,3,5,5,5,1,4,5,5,5,5,5,5,5,5,3,4,3,5,5,5,4,1,5,5,5
95,4,4,5,1,2,4,4,2,4,4,4,4,3,5,3,2,3,3,4,3,3,2,3,2,3,3,3,3,2,3,2
96,4,4,2,3,2,3,3,3,3,2,1,4,3,4,4,1,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3
97,4,4,4,4,5,1,4,3,4,2,4,2,4,5,2,4,4,4,3,2,4,4,4,5,2,4,2,4,4,4,3
98,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3
99,1,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,4,3,2,2,2,2,2,3,2,3,3,2,2,4
100,4,4,4,2,4,5,3,2,3,3,2,4,2,3,3,4,2,4,3,4,2,2,2,2,1,3,2,3,2,3,1
101,4,4,4,4,4,3,4,2,5,2,2,4,4,2,4,2,4,2,4,4,4,2,2,4,4,4,4,4,4,4,4
102,3,3,4,2,3,2,2,2,3,4,4,4,2,4,5,2,2,2,4,4,4,4,2,4,4,2,4,4,2,2,4
103,4,4,2,4,4,3,3,4,4,4,4,2,2,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4
104,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
105,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
106,5,4,4,5,4,2,2,4,3,1,3,4,3,3,2,2,2,3,4,4,3,3,1,4,2,4,4,4,4,3,2
107,4,4,4,4,4,4,4,4,4,4,2,2,5,2,1,5,2,1,4,3,2,1,3,3,4,5,1,1,4,5,2
108,4,2,3,5,3,5,2,3,4,3,2,4,2,5,2,5,2,5,2,4,2,5,2,5,5,4,2,4,3,5,2
109,3,2,3,2,4,4,1,2,3,4,5,4,2,3,2,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
110,3,3,3,4,3,4,4,3,4,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,3,3,3,4,2,4,2
111,4,3,4,3,1,2,3,4,3,3,1,2,1,2,2,4,4,2,2,3,3,3,2,3,2,4,2,2,3,2,4
112,2,4,2,4,2,2,3,2,4,2,5,3,4,3,4,5,4,3,4,4,4,5,5,3,3,3,3,4,2,2,4
113,2,2,3,2,3,2,4,3,4,3,3,3,2,4,5,4,4,2,3,3,3,4,2,3,2,3,3,4,3,3,3
114,4,3,4,4,2,4,3,4,4,5,4,3,3,4,2,3,4,2,4,3,3,4,2,3,4,4,3,4,3,2,3
115,3,4,4,4,4,2,5,3,3,4,4,4,2,3,4,3,4,4,4,2,2,3,4,4,3,4,3,4,2,5,4
116,4,3,2,2,4,2,3,2,3,3,4,4,4,3,5,4,2,3,4,4,3,4,5,2,1,3,2,2,3,4,3
117,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
118,1,4,3,3,3,4,3,3,4,4,3,2,3,3,4,4,3,3,4,4,4,4,4,3,3,3,2,2,2,2,2
119,4,3,4,3,3,4,2,3,3,4,4,3,3,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3
120,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,4,5,1,4,1
121,3,3,4,3,3,4,5,4,3,4,4,5,3,3,4,5,3,3,3,4,4,4,4,3,4,4,5,5,3,5,5
122,4,4,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
123,4,4,3,4,3,2,3,3,1,3,3,4,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
124,5,4,4,3,2,2,4,3,3,4,3,2,4,3,4,3,3,4,4,3,3,2,2,4,4,3,5,4,2,5,2
125,3,2,2,4,3,1,2,4,2,3,3,4,3,3,4,3,2,4,4,4,4,3,4,4,3,1,3,2,1,2,3
126,4,4,3,3,5,4,4,5,5,5,3,3,3,3,3,4,3,3,3,3,4,3,2,4,3,4,3,3,3,4,4
127,3,4,5,5,2,3,4,4,3,3,3,3,2,2,3,4,4,3,5,3,4,2,3,2,3,3,3,3,4,3,4
128,4,4,3,4,4,4,4,2,3,3,3,4,4,4,4,2,2,2,4,2,2,3,4,4,4,3,4,3,3,3,3
129,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1
130,4,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
131,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,2,1,5,1,4,2,4,2,2,4,4,3,4
132,3,3,3,3,2,3,4,1,2,4,4,5,5,5,5,5,1,1,2,2,4,4,5,1,5,4,4,1,1,1,2
133,2,2,2,2,2,2,2,3,2,3,4,3,3,3,4,3,2,3,3,1,1,3,1,1,4,1,1,3,1,5,4
134,1,1,2,3,3,3,1,1,2,3,1,1,3,4,2,4,4,5,5,3,1,1,1,1,5,4,4,3,3,1,1
135,3,5,1,4,2,5,3,2,2,1,2,3,5,5,4,5,1,3,2,3,2,4,1,4,5,2,1,4,3,1,2
136,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,4,4
137,4,4,4,1,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,3,4,4,3
138,3,3,2,3,5,2,3,4,3,4,3,3,3,5,2,1,4,2,1,1,1,3,3,3,3,4,2,2,5,4,3
139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,5,5,5,5,5,5,5,3,2,2,2,2,2,5,3,4,4,4,4,4,4,2,2,2,2,2,3,4,4,4,3
141,5,5,5,4,3,4,2,4,4,3,5,4,4,3,4,4,4,4,4,3,4,5,4,3,4,4,4,5,3,2,2
142,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,5,5,3,3,3,3,4,4,2,4,3,4,4,4,3
143,3,3,4,3,2,3,3,4,2,2,3,3,1,4,4,2,4,3,3,3,3,3,3,4,4,4,3,3,5,3,5
144,1,4,3,1,1,1,3,1,3,4,5,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
145,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
146,4,3,4,5,3,5,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,5,3,4,5,5
147,4,3,4,3,4,3,4,4,3,2,4,2,4,2,2,3,4,3,3,2,3,3,4,4,2,4,4,3,4,3,1
148,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
149,2,3,4,3,2,3,1,2,2,3,3,4,3,3,3,3,3,4,4,3,4,3,2,4,3,3,3,4,3,3,4
150,4,4,3,4,4,4,4,4,4,5,2,4,4,4,3,3,5,5,4,5,4,4,2,4,3,4,4,4,4,5,4
151,3,4,4,4,3,4,4,3,2,4,3,3,3,4,3,4,3,4,4,3,5,3,4,2,3,2,4,2,2,2,3
152,4,1,1,3,3,4,3,4,4,4,4,3,2,2,4,3,3,2,3,3,3,2,2,4,3,5,4,4,4,2,3
153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,3,4,3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,4,4,3,3,3,3,2,4,4,3,3,3,4,4
156,3,4,4,3,5,4,4,3,3,3,3,3,3,4,2,3,2,3,4,4,4,3,3,4,4,3,2,4,4,3,4
157,3,4,4,4,4,3,4,4,5,5,5,4,2,5,4,4,4,4,3,4,3,3,4,4,3,3,3,4,3,4,4
158,5,4,5,4,4,4,3,4,4,4,2,3,3,5,3,2,4,2,4,3,3,3,3,4,4,4,3,4,3,5,4
159,1,1,1,1,2,2,1,2,2,1,3,2,2,4,3,2,2,2,1,4,3,3,1,2,3,4,2,1,1,4,3
160,3,2,3,3,4,3,2,2,3,2,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
161,2,3,1,1,1,5,3,4,4,3,5,4,4,3,2,5,5,1,1,3,3,5,1,2,2,3,2,1,2,3,4
162,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
163,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
164,3,3,4,4,3,4,3,5,2,4,4,3,3,3,3,4,4,2,4,3,3,4,3,2,1,3,3,4,4,4,4
165,3,4,5,4,3,5,5,4,4,4,5,4,3,3,5,5,4,4,3,3,3,3,4,4,5,5,5,5,5,5,5
166,3,3,3,3,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4,4,3,3,3,4,3,3
167,4,3,3,3,4,3,4,3,4,3,2,4,3,2,4,4,2,4,4,4,3,4,3,4,2,4,4,3,4,2,3
168,4,4,4,4,2,2,5,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,4,2,4,3
169,4,5,3,4,3,1,2,1,3,1,1,4,3,1,1,3,2,5,4,5,1,3,3,3,2,4,4,5,2,1,4
170,4,4,3,2,3,2,2,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4
171,4,4,3,3,5,4,4,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5
172,2,2,1,1,1,4,1,1,5,1,4,1,2,1,3,3,3,1,3,2,2,2,2,2,2,2,5,5,5,3,3
173,1,2,3,5,1,3,4,4,2,2,3,5,1,4,2,2,2,3,3,2,2,2,4,4,1,1,1,2,1,1,3
174,4,4,4,2,4,4,3,5,5,3,3,1,2,4,4,2,3,1,1,1,1,1,1,5,2,3,5,2,2,2,3
175,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
176,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
177,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,1,1,1,1,1,1,1,3,1,1,3,3,1,3,3
178,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,5,3,4,4,4,4,4,4,3,3,5,4,4,3,5
179,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,5,2,3,3,1,4,4,4,2,2,2,2
180,4,4,5,4,4,4,4,4,5,4,2,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4
181,4,3,4,5,4,2,3,5,4,4,4,4,3,5,4,3,1,3,4,4,4,3,4,4,4,4,4,3,4,4,3
182,1,1,4,2,2,4,2,2,4,2,2,2,2,4,4,2,4,4,4,2,3,2,2,4,2,2,2,4,2,4,2
183,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
184,1,4,1,1,1,3,1,3,4,4,1,3,4,5,3,2,5,1,1,3,3,3,5,1,3,5,5,5,5,4,5
185,3,3,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
186,4,5,4,5,4,5,3,3,5,5,4,5,3,4,5,4,5,3,5,4,5,5,3,3,5,3,5,5,4,4,4
187,1,2,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4
188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4
189,2,3,3,3,3,3,4,3,2,3,2,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
190,3,4,3,4,4,3,2,3,4,2,2,3,5,3,4,4,4,4,4,4,3,3,4,5,2,5,4,3,2,2,2
191,3,4,4,2,4,4,3,5,3,3,4,5,5,4,5,4,5,4,4,5,5,3,3,3,3,4,5,5,4,5,4
192,4,3,3,4,4,2,4,2,1,2,3,2,3,4,4,2,2,2,4,4,2,2,2,2,2,2,3,5,1,4,4
